81338,2099,2100,1165,6,612,436,117,10326,7597,10993,135141,9053,19766
1030,2062,2068,915,5,460,383,72,5959,3791,9977,58085,4880,9506
38871,2033,2033,257,4,197,28,32,3167,1233,3350,25099,1302,3540
45940,2030,2040,1153,14,610,450,93,10852,6362,13597,74974,3601,20090
62474,2017,2017,305,0,184,93,28,2382,1396,3585,23537,1274,6857
1416,1977,2011,685,35,293,321,71,5649,4868,5795,76644,5427,17191
145921,1954,1954,175,5,124,34,17,2189,929,1803,16316,1918,3393
151295,1949,1950,344,3,183,136,25,2753,1957,3673,36411,3901,6770
140398,1942,1951,322,8,186,109,27,3329,1717,3094,32035,1952,5675
102875,1937,1944,401,2,201,172,28,3183,2371,3638,32707,1801,9223
164538,1930,1941,286,2,183,67,36,2655,1076,2773,30519,1478,8723
169385,1921,1935,278,3,145,103,30,2468,1676,2826,28833,1905,4197
6521,1920,1937,729,3,329,341,59,5684,5918,7515,71660,11039,15795
52661,1919,1921,201,3,126,61,14,1816,989,2409,18784,2061,2182
156921,1902,1902,343,0,184,121,38,3371,2331,3575,32924,1940,7184
102352,1894,1902,377,3,197,136,44,3668,2290,3764,40514,2545,12870
45177,1893,1916,370,4,194,148,28,2276,2522,4665,18427,1972,5346
122652,1889,1892,184,2,109,50,25,1507,1032,2067,15894,730,3575
86639,1875,1875,276,1,147,112,17,2107,1612,2681,28094,2141,7005
31888,1868,1870,250,14,144,85,21,2000,1382,2137,31525,2207,3763
11195,1866,1870,172,1,102,56,14,1647,1063,2118,14942,573,2941
133690,1861,1872,288,5,159,99,30,2028,1813,2894,31335,2296,5128
60717,1858,1901,738,4,343,323,72,6214,5103,6312,59925,3762,13473
102683,1855,1860,289,2,150,114,25,2113,1612,3744,19738,607,4286
12992,1855,1867,419,23,209,169,41,3197,2473,4007,32718,1829,11492
10516,1847,1879,203,3,123,58,22,1459,998,2308,22021,2295,2609
42656,1844,1897,761,6,321,363,77,5001,4530,7320,56288,3171,8928
74186,1842,1842,1124,11,640,350,134,11477,6608,10964,79306,8189,15705
170265,1839,1855,158,1,95,44,19,1692,778,1473,20963,1779,4456
147163,1838,1841,254,5,127,101,26,1938,1125,2124,23614,1382,4571
3991,1833,1833,188,3,107,67,14,1559,770,2090,18623,1748,5417
21061,1832,1832,417,5,228,153,36,3168,2216,3921,37017,2404,9838
13883,1831,1831,128,3,83,35,10,1370,737,1655,11703,454,2156
36821,1825,1833,225,7,120,77,28,1733,1069,2386,16192,1584,3930
161025,1820,1820,130,0,79,42,9,1474,784,1423,15073,887,2899
34102,1819,1833,178,15,99,61,18,1481,967,1742,18793,1073,2429
74632,1816,1816,258,10,167,56,35,3236,1056,2499,23738,1520,5561
7740,1816,1832,558,5,253,258,47,3040,2185,4933,41736,2805,12107
152059,1810,1815,139,1,82,39,18,910,711,1240,11373,625,3094
